place_id,name,city,query_category,source_query,primary_type,address,latitude,longitude,rating,user_rating_count,price_level,google_maps_uri,is_food,is_tourist_spot
ChIJW5u7qba2bTkRrl-zFRz7ZN0,Sanganeri Gate,Jaipur,tourist_spot,historical places,historical_landmark,"45a, Johari Bazar Rd, Bapu Bazar, Pink City, Jaipur, Rajasthan 302003",26.915848699999998,75.8248989,4.4,12221,,https://maps.google.com/?cid=15953151878094872494&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJX7YmclaxbTkRzkgWVnWbu-g,Market Jaipur,Jaipur,tourist_spot,shopping markets,market,"D-13, Sansar Chandra Rd, Chandpol Bazar, Jalupura, Jaipur, Rajasthan 302001",26.9264501,75.80872939999999,4.4,3722,,https://maps.google.com/?cid=16770168565701953742&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJz2S0q9C1bTkRr_3JFqQKREM,World Trade Park,Jaipur,tourist_spot,shopping markets,shopping_mall,"Jawahar Lal Nehru Marg, D-Block, Malviya Nagar, Jaipur, Rajasthan 302017",26.8529889,75.80486909999999,4.6,87890,,https://maps.google.com/?cid=4847010798830747055&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJp0PoC9-1bTkR1Q9T_jA4Oh0,Dubai Bazaar,Jaipur,tourist_spot,shopping markets,shopping_mall,"3rd Floor, Adjoining Food Court, World Trade Park, JLN Marg, GT Rd, D-Block, Malviya Nagar, Jaipur, Rajasthan 302017",26.853749999999998,75.805144,4.3,3212,,https://maps.google.com/?cid=2106057558825570261&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJuTyaOrK2bTkRMD36HnDUlWE,Jaipur Night Market,Jaipur,tourist_spot,shopping markets,market,"ki paal, opposite Rajasthan haat, Jal Mahal, Amer, Jaipur, Rajasthan 302003",26.9544425,75.84276380000001,4.3,972,,https://maps.google.com/?cid=7031759971230039344&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJqfRXxcO2bTkRYSS5F1T1Ev4,Pink Square Mall,Jaipur,tourist_spot,shopping markets,shopping_mall,"Plot No. 1, 2, Govind Marg, Saket Colony, Adarsh Nagar, Jaipur, Rajasthan 302004",26.9031809,75.8367426,4.3,29079,,https://maps.google.com/?cid=18307965176738554977&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJdQaLBHi3bTkRHvmaWzqHluU,GT. Mall Jaipur,Jaipur,tourist_spot,shopping markets,shopping_mall,"D-Block, Crystal Court, Jawahar Nagar, Jaipur, Rajasthan 302017",26.856305499999998,75.8061446,4.4,4305,,https://maps.google.com/?cid=16543558965906831646&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJY60fWQ22bTkRUDDXhKgNH00,Satkar Shopping Centre,Jaipur,tourist_spot,shopping markets,shopping_mall,"Sector 2, Malviya Nagar, Jaipur, Rajasthan 302017",26.8509305,75.81837209999999,4.2,8590,,https://maps.google.com/?cid=5557175482632843344&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJ32elOEmxbTkRUFU7bXzvpqE,Maharani Market City Center Mall,Jaipur,tourist_spot,shopping markets,market,"Maharani Market City Center Mall,Near Govind Dev Ji Mandir,Kanwar Nagar, WRHG+G6W, Gangori Bazaar, J.D.A. Market, Brahampuri, Jaipur, Rajasthan 302002",26.9288715,75.8255862,3.6,1156,,https://maps.google.com/?cid=11648260803927954768&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJg8Jw37O2bTkRDhuyvraZrk0,Saraogi Mansion,Jaipur,tourist_spot,shopping markets,shopping_mall,"Mirza Ismail Rd, Bapu Bazar, Biseswarji, Jaipur, Rajasthan 302003",26.9158658,75.8223271,4.1,9377,,https://maps.google.com/?cid=5597580397030546190&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJ5QHQE42xbTkRMTqGEt7Z-TE,Tripoliya Market,Jaipur,tourist_spot,shopping markets,market,"WRFG+5GC, Bapu Bazar, Biseswarji, Jaipur, Rajasthan 302003",26.922935300000002,75.8262708,4.3,205,,https://maps.google.com/?cid=3601148924876175921&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJsbGmGwC3bTkR0pzpn0pD5k4,JAIPUR KA SAROJINI MARKET,Jaipur,tourist_spot,shopping markets,clothing_store,"D-Block, Malviya Nagar, Jaipur, Rajasthan 302017",26.8504255,75.810234,5.0,3,,https://maps.google.com/?cid=5685305567391358162&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJjehfB2KzbTkRxMERcQo_BNw,London Street Bazaar,Jaipur,tourist_spot,shopping markets,shopping_mall,"C-180, Gautam Marg, Block C, Vaishali Nagar, Jaipur, Rajasthan 302021",26.9132972,75.7430139,4.1,30,,https://maps.google.com/?cid=15853865902330200516&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJK7GYW6u2bTkR_hCqM8yPno0,Cloth Market,Jaipur,tourist_spot,shopping markets,market,"B-, 245, Khanjane Walon ka Rasta, 5th Crossing, Chandpole Bazar, Indira Bazar, Topkhana Desh, Jaipur, Rajasthan 302001",26.919479,75.81219990000001,4.2,1095,,https://maps.google.com/?cid=10204751912871006462&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJ_e-MHwC3bTkRvg-7woOKIXM,Wholesale market,Jaipur,tourist_spot,shopping markets,clothing_store,"7-NA-13, Sector 7, Jawahar Nagar, Jaipur, Rajasthan 302004",26.892186,75.834114,5.0,2,,https://maps.google.com/?cid=8296064287105552318&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJfYNu3cazbTkRVcFEhLix2z4,Reliance SMART Superstore,Jaipur,tourist_spot,shopping markets,shopping_mall,"G, 467, Road No. 12, Vishwakarma Industrial Area, Jaipur, Rajasthan 302013",26.990786099999998,75.7732154,4.1,1259,,https://maps.google.com/?cid=4529409256302362965&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJg6fcKACxbTkRrMCXRXn_G80,Purohit Ji Ka,Jaipur,tourist_spot,shopping markets,shopping_mall,"WRCG+VC3, Tripolia Bazar, Bapu Bazar, Biseswarji, Jaipur, Rajasthan 302003",26.9221315,75.8260569,4.4,14,,https://maps.google.com/?cid=14779687498470113452&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
