place_id,name,city_x,query_category,source_query,primary_type,address,latitude,longitude,rating,user_rating_count,price_level,google_maps_uri,is_food,is_tourist_spot,city_key,place_name,city_y,news_count,incident_count,positive_count,news_risk_level,news_signal_score,latest_article_title,latest_article_url,city,weather_risk_level,primary_weather_risk,lookahead_hours,rain_risk_level,heat_risk_level,wind_risk_level,air_quality_risk_level,uv_risk_level,visibility_risk_level,rain_mm_next_window,max_rain_probability,max_apparent_temperature_c,max_wind_gust_kmph,max_us_aqi,max_pm25,max_pm10,max_uv_index,min_visibility_m,travel_advice,created_at,outdoor_weather_sensitive,simple_popularity_score,news_penalty,weather_penalty,news_weather_adjusted_score
ChIJrVwNOsfR5zsRPHOcIKclCsc,Gateway Of India Mumbai,Mumbai,tourist_spot,best tourist attractions,historical_landmark,"Apollo Bandar, Colaba, Mumbai, Maharashtra",18.921984100000003,72.83465430000001,4.6,385130,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=14342317363051655996&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True,mumbai,Gateway Of India Mumbai,Mumbai,0.0,0.0,0.0,Low,0.0,,,Mumbai,High,"Heavy rain (High), Wind/storm (High), Poor visibility (High)",12,High,Low,High,Low,Low,High,61.4,100,31.1,64.4,39,11.6,24.2,1.1,880,"Avoid outdoor sightseeing, beaches, seafront walks, low-lying roads and long road transfers. Avoid exposed viewpoints, boating, beaches and sea-facing walks. Visibility is poor; avoid long drives and viewpoints.",2026-07-06T16:43:37.036848+00:00,True,59.16215854962083,0.0,0.22,58.94215854962083
ChIJJ7H46sPR5zsRU5I-VRAm50Q,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Mumbai,tourist_spot,best tourist attractions,history_museum,"159-161, Mahatma Gandhi Road, Lion Gate, Fort, Mumbai, Maharashtra 400001",18.9269015,72.83269159999998,4.6,39530,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=4964978965790757459&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True,mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Mumbai,0.0,0.0,0.0,Low,0.0,,,Mumbai,High,"Heavy rain (High), Wind/storm (High), Poor visibility (High)",12,High,Low,High,Low,Low,High,61.4,100,31.1,64.4,39,11.6,24.2,1.1,880,"Avoid outdoor sightseeing, beaches, seafront walks, low-lying roads and long road transfers. Avoid exposed viewpoints, boating, beaches and sea-facing walks. Visibility is poor; avoid long drives and viewpoints.",2026-07-06T16:43:37.036848+00:00,True,48.69026608478146,0.0,0.22,48.470266084781464
ChIJwbAghgu0bTkRYHt9ATEVgEQ,The City Palace,Jaipur,tourist_spot,best tourist attractions,historical_place,"Gangori Bazaar, J.D.A. Market, Kanwar Nagar, Jaipur, Rajasthan 302002",26.9257943,75.8236714,4.4,58997,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=4935968491820645216&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True,jaipur,The City Palace,Jaipur,0.0,0.0,0.0,Low,0.0,,,Jaipur,High,"Heavy rain (High), Heat (Medium), UV (Medium), Poor visibility (Medium)",12,High,Medium,Low,Low,Medium,Medium,1.8,100,39.0,26.3,73,30.3,173.7,7.9,3000,"Avoid outdoor sightseeing, beaches, seafront walks, low-lying roads and long road transfers. Prefer morning and evening sightseeing; carry water and sun protection. Use basic sun protection for outdoor plans. Check visibility before long drives or viewpoints.",2026-07-06T16:43:35.811066+00:00,True,48.33513882563613,0.0,0.22,48.11513882563613
ChIJ229EGhTR5zsRjB3OGFb4ybo,"Nariman Point, Mumbai",Mumbai,tourist_spot,historical places,tourist_attraction,"Nariman Point, Mumbai, Maharashtra",18.925702699999995,72.8186357,4.7,29178,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=13459562010040475020&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True,mumbai,"Nariman Point, Mumbai",Mumbai,0.0,0.0,0.0,Low,0.0,,,Mumbai,High,"Heavy rain (High), Wind/storm (High), Poor visibility (High)",12,High,Low,High,Low,Low,High,61.4,100,31.1,64.4,39,11.6,24.2,1.1,880,"Avoid outdoor sightseeing, beaches, seafront walks, low-lying roads and long road transfers. Avoid exposed viewpoints, boating, beaches and sea-facing walks. Visibility is poor; avoid long drives and viewpoints.",2026-07-06T16:43:37.036848+00:00,True,48.321661391775365,0.0,0.22,48.101661391775366
ChIJaXD1f0yxbTkRvquNoSkESuk,Jantar Mantar,Jaipur,tourist_spot,best tourist attractions,,"Malve Nagar, J.D.A. Market, Kanwar Nagar, Jaipur, Rajasthan 302002",26.924761999999994,75.82455999999999,4.5,42880,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=16810253135964384190&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True,jaipur,Jantar Mantar,Jaipur,0.0,0.0,0.0,Low,0.0,,,Jaipur,High,"Heavy rain (High), Heat (Medium), UV (Medium), Poor visibility (Medium)",12,High,Medium,Low,Low,Medium,Medium,1.8,100,39.0,26.3,73,30.3,173.7,7.9,3000,"Avoid outdoor sightseeing, beaches, seafront walks, low-lying roads and long road transfers. Prefer morning and evening sightseeing; carry water and sun protection. Use basic sun protection for outdoor plans. Check visibility before long drives or viewpoints.",2026-07-06T16:43:35.811066+00:00,True,47.99782852365725,0.0,0.22,47.77782852365725
ChIJnz0di8iw5zsRz-Ko2mndITY,Sanjay Gandhi National Park,Mumbai,tourist_spot,best tourist attractions,national_park,"Mumbai, Maharashtra",19.220453499999998,72.9128422,4.3,64382,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=3900642198989365967&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True,mumbai,Sanjay Gandhi National Park,Mumbai,0.0,0.0,0.0,Low,0.0,,,Mumbai,High,"Heavy rain (High), Wind/storm (High), Poor visibility (High)",12,High,Low,High,Low,Low,High,61.4,100,31.1,64.4,39,11.6,24.2,1.1,880,"Avoid outdoor sightseeing, beaches, seafront walks, low-lying roads and long road transfers. Avoid exposed viewpoints, boating, beaches and sea-facing walks. Visibility is poor; avoid long drives and viewpoints.",2026-07-06T16:43:37.036848+00:00,True,47.61220107898524,0.0,0.22,47.39220107898524
ChIJx0lfsbGxbTkRgVOhxJ7EGbw,Jaigarh Fort,Jaipur,tourist_spot,best tourist attractions,museum,"Devisinghpura, Amer, Jaipur, Rajasthan 302028",26.981605199999994,75.8447917,4.5,31963,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=13554080739731002241&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True,jaipur,Jaigarh Fort,Jaipur,0.0,0.0,0.0,Low,0.0,,,Jaipur,High,"Heavy rain (High), Heat (Medium), UV (Medium), Poor visibility (Medium)",12,High,Medium,Low,Low,Medium,Medium,1.8,100,39.0,26.3,73,30.3,173.7,7.9,3000,"Avoid outdoor sightseeing, beaches, seafront walks, low-lying roads and long road transfers. Prefer morning and evening sightseeing; carry water and sun protection. Use basic sun protection for outdoor plans. Check visibility before long drives or viewpoints.",2026-07-06T16:43:35.811066+00:00,True,46.675644968224596,0.0,0.22,46.4556449682246
ChIJV9GWIae2bTkR3tu5UFSOwk0,Central Park,Jaipur,tourist_spot,popular places to visit,park,"Prithviraj Rd, Rambagh, Jaipur, Rajasthan 302007",26.904903700000002,75.8087219,4.6,24979,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=5603197379185073118&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True,jaipur,Central Park,Jaipur,0.0,0.0,0.0,Low,0.0,,,Jaipur,High,"Heavy rain (High), Heat (Medium), UV (Medium), Poor visibility (Medium)",12,High,Medium,Low,Low,Medium,Medium,1.8,100,39.0,26.3,73,30.3,173.7,7.9,3000,"Avoid outdoor sightseeing, beaches, seafront walks, low-lying roads and long road transfers. Prefer morning and evening sightseeing; carry water and sun protection. Use basic sun protection for outdoor plans. Check visibility before long drives or viewpoints.",2026-07-06T16:43:35.811066+00:00,True,46.578821604926006,0.0,0.22,46.35882160492601
ChIJL2CjfTDF5zsRP_WuGhsYq_Q,Elephanta Caves,Mumbai,tourist_spot,popular places to visit,historical_place,"Gharapuri, Maharashtra 400021",18.963347399999996,72.93148640000001,4.3,40771,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=17630211670962795839&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True,mumbai,Elephanta Caves,Mumbai,1.0,0.0,0.0,Low,10.0,Tides of trash : Elephanta Island battles mounting waste crisis as footfalls set to rise,https://timesofindia.indiatimes.com/city/mumbai/tides-of-trash-elephanta-island-battles-mounting-waste-crisis-as-footfalls-set-to-rise/articleshow/131717070.cms,Mumbai,High,"Heavy rain (High), Wind/storm (High), Poor visibility (High)",12,High,Low,High,Low,Low,High,61.4,100,31.1,64.4,39,11.6,24.2,1.1,880,"Avoid outdoor sightseeing, beaches, seafront walks, low-lying roads and long road transfers. Avoid exposed viewpoints, boating, beaches and sea-facing walks. Visibility is poor; avoid long drives and viewpoints.",2026-07-06T16:43:37.036848+00:00,True,45.64772865623971,0.0,0.22,45.42772865623971
ChIJDSDY3dzR5zsRioxQhTapi5E,Flora Fountain,Mumbai,tourist_spot,best tourist attractions,historical_landmark,"Veer Nariman Road, Mahatma Gandhi Road, Kala Ghoda, Fort, Mumbai, Maharashtra 400001",18.93248059999999,72.83151660000001,4.5,24394,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=10487662208892308618&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True,mumbai,Flora Fountain,Mumbai,0.0,0.0,0.0,Low,0.0,,,Mumbai,High,"Heavy rain (High), Wind/storm (High), Poor visibility (High)",12,High,Low,High,Low,Low,High,61.4,100,31.1,64.4,39,11.6,24.2,1.1,880,"Avoid outdoor sightseeing, beaches, seafront walks, low-lying roads and long road transfers. Avoid exposed viewpoints, boating, beaches and sea-facing walks. Visibility is poor; avoid long drives and viewpoints.",2026-07-06T16:43:37.036848+00:00,True,45.459600625124715,0.0,0.22,45.239600625124716
ChIJn079zr_R5zsR3Ghy0UQ2dCM,Colaba Market,Mumbai,tourist_spot,popular places to visit,market,"Adenwala Rd, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001",18.920716999999996,72.83064900000001,4.3,36088,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=2554726557825525980&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True,mumbai,Colaba Market,Mumbai,0.0,0.0,0.0,Low,0.0,,,Mumbai,High,"Heavy rain (High), Wind/storm (High), Poor visibility (High)",12,High,Low,High,Low,Low,High,61.4,100,31.1,64.4,39,11.6,24.2,1.1,880,"Avoid outdoor sightseeing, beaches, seafront walks, low-lying roads and long road transfers. Avoid exposed viewpoints, boating, beaches and sea-facing walks. Visibility is poor; avoid long drives and viewpoints.",2026-07-06T16:43:37.036848+00:00,True,45.123096571609665,0.0,0.22,44.903096571609666
